Ime;Narodnost;Položaj;Ekipa;Starost;Odigrane tekme;Minute;Goli;Asistence;Rumeni kartoni;Rdeči kartoni
Max Aarons;ENG;DF;Bournemouth;23;20;1237;0;1;1;0
Joshua Acheampong;ENG;DF;Chelsea;17;1;6;0;0;0;0
Bénie Adama Traore;CIV;FW, MF;Sheffield Utd;20;8;387;0;0;0;0
Tyler Adams;USA;MF;Bournemouth;24;3;121;0;0;0;0
Tosin Adarabioyo;ENG;DF;Fulham;25;20;1617;2;0;2;0
Elijah Adebayo;ENG;FW;Luton Town;25;27;1419;10;0;1;0
Simon Adingra;CIV;FW;Brighton;21;31;2222;6;1;3;0
Nayef Aguerd;MAR;DF;West Ham;27;21;1857;1;0;3;1
Brandon Aguilera;CRC;FW;Nott'ham Forest;20;1;5;0;0;0;0
Naouirou Ahamada;FRA;MF, FW;Crystal Palace;21;20;349;0;0;4;1
Anel Ahmedhodžić;BIH;DF;Sheffield Utd;24;31;2649;2;0;11;1
Ola Aina;NGA;DF;Nott'ham Forest;26;22;1692;1;1;3;0
Rayan Aït-Nouri;ALG;DF, MF;Wolves;22;33;2329;2;1;7;0
Kristoffer Ajer;NOR;DF;Brentford;25;28;1832;2;1;5;0
Manuel Akanji;SUI;DF, MF;Manchester City;28;30;2511;2;0;4;1
Nathan Aké;NED;DF;Manchester City;28;29;2042;2;2;0;0
Thiago Alcántara;ESP;MF;Liverpool;32;1;6;0;0;0;0
Trent Alexander-Arnold;ENG;DF;Liverpool;24;28;2155;3;4;6;0
Alisson;BRA;GK;Liverpool;30;28;2520;0;0;1;0
Miguel Almirón;PAR;FW;Newcastle Utd;29;33;1937;3;1;2;0
Edson Álvarez;MEX;MF;West Ham;25;31;2377;1;1;11;0
Julián Álvarez;ARG;MF, FW;Manchester City;23;36;2647;11;8;2;0
Zeki Amdouni;SUI;FW;Burnley;22;34;1953;5;1;2;0
Sofyan Amrabat;MAR;MF, DF;Manchester Utd;26;21;938;0;0;6;0
Joachim Andersen;DEN;DF;Crystal Palace;27;38;3415;2;3;7;0
Elliot Anderson;SCO;MF, FW;Newcastle Utd;20;21;1027;0;2;3;0
Jaidon Anthony;ENG;FW;Bournemouth;23;3;152;0;0;1;0
Michail Antonio;JAM;FW;West Ham;33;26;1695;6;2;6;0
Antony;BRA;FW;Manchester Utd;23;29;1324;1;1;5;0
Oliver Arblaster;ENG;MF;Sheffield Utd;19;12;943;0;0;2;0
Cameron Archer;ENG;FW, MF;Sheffield Utd;22;29;1832;4;1;1;0
Cameron Archer;ENG;MF;Aston Villa;22;1;6;0;0;1;0
Alphonse Areola;FRA;GK;West Ham;30;31;2699;0;0;1;0
Lorenz Assignon;TOG;DF;Burnley;23;15;1234;1;2;5;1
Serge Aurier;CIV;DF, MF;Nott'ham Forest;30;12;833;0;2;2;0
Taiwo Awoniyi;NGA;FW;Nott'ham Forest;25;20;1042;6;3;2;0
Jordan Ayew;GHA;FW, MF;Crystal Palace;31;35;2543;4;7;9;1
Benoît Badiashile;FRA;DF;Chelsea;22;18;1338;0;1;3;0
Leon Bailey;JAM;MF, FW;Aston Villa;25;35;2068;10;9;5;0
Stefan Bajcetic;ESP;MF;Liverpool;18;1;26;0;0;0;0
George Baldock;GRE;DF;Sheffield Utd;30;13;969;0;1;4;0
Carlos Baleba;CMR;MF;Brighton;19;27;1325;0;0;7;0
Fodé Ballo-Touré;SEN;DF, MF;Fulham;26;6;71;0;0;1;0
Shandon Baptiste;GRN;MF;Brentford;25;10;229;1;1;1;0
Valentín Barco;ARG;DF, FW;Brighton;19;6;307;0;0;1;0
Ross Barkley;ENG;MF;Luton Town;29;32;2618;5;4;6;0
Harvey Barnes;ENG;FW, MF;Newcastle Utd;25;21;802;5;3;2;0
Chris Basham;ENG;DF, MF;Sheffield Utd;35;8;321;0;0;1;0
Calvin Bassey;NGA;DF;Fulham;23;29;2303;1;0;6;1
Owen Beck;WAL;DF;Liverpool;20;1;8;0;0;0;0
Donny van de Beek;NED;DF;Manchester Utd;26;1;3;0;0;0;0
Amari'i Bell;JAM;DF;Luton Town;29;21;1720;0;0;0;0
Jean-Ricner Bellegarde;FRA;MF, FW;Wolves;25;22;958;2;1;0;1
Anis Ben Slimane;TUN;MF;Sheffield Utd;22;15;419;0;0;2;0
Saïd Benrahma;ALG;FW, MF;West Ham;27;13;620;0;1;1;0
Rodrigo Bentancur;URU;MF;Tottenham;26;23;1005;1;1;7;0
Daniel Bentley;ENG;GK;Wolves;30;5;383;0;0;0;0
Jóhann Berg Guðmundsson;ISL;MF, FW;Burnley;32;26;1192;1;3;2;0
Sander Berge;NOR;MF;Burnley;25;37;3005;1;2;10;1
Luke Berry;ENG;MF, DF;Luton Town;31;17;323;2;1;1;0
Beto;GNB;FW;Everton;25;30;951;3;0;2;0
Jordan Beyer;GER;DF;Burnley;23;15;1234;0;1;6;0
Philip Billing;DEN;MF;Bournemouth;27;29;1398;2;2;3;1
Yves Bissouma;MLI;MF;Tottenham;26;28;2068;0;0;10;2
Benicio Boaitey;ENG;FW, DF;Brighton;19;5;40;0;0;1;0
Oscar Bobb;NOR;FW, MF;Manchester City;20;14;302;1;1;0;0
Jayden Bogle;ENG;DF;Sheffield Utd;23;34;2788;3;0;9;0
Willy Boly;CIV;DF;Nott'ham Forest;32;20;1438;2;1;3;1
Sven Botman;NED;DF;Newcastle Utd;23;17;1377;2;2;2;0
Jarrod Bowen;ENG;FW;West Ham;26;34;3019;16;6;2;0
Conor Bradley;NIR;DF;Liverpool;20;11;753;1;3;2;0
Jarrad Branthwaite;ENG;DF;Everton;21;35;3116;3;0;8;0
Ben Brereton;CHI;FW, MF;Sheffield Utd;24;14;1105;6;1;3;0
Rhian Brewster;ENG;FW, MF;Sheffield Utd;23;13;346;0;0;0;1
Armando Broja;ALB;FW;Chelsea;21;13;454;1;0;0;0
Armando Broja;ALB;FW;Fulham;21;8;88;0;1;0;0
Andre Brooks;ENG;MF, DF;Sheffield Utd;19;20;938;0;0;1;0
David Brooks;WAL;FW, MF;Bournemouth;26;13;282;1;1;1;0
Jacob Brown;SCO;MF, FW;Luton Town;25;19;1019;2;0;4;0
Josh Brownhill;ENG;MF;Burnley;27;33;2252;4;2;4;1
Jacob Bruun Larsen;DEN;MF, FW;Burnley;24;32;1249;6;0;1;0
Hugo Bueno;ESP;DF, MF;Wolves;20;22;741;0;0;1;0
Santiago Bueno;URU;DF;Wolves;24;12;822;0;0;1;0
Facundo Buonanotte;ARG;FW, MF;Brighton;18;27;1364;3;1;7;0
Reece Burke;ENG;DF;Luton Town;26;22;1660;0;4;5;0
Dan Burn;ENG;DF;Newcastle Utd;31;33;2726;2;2;4;0
Mason Burstow;ENG;FW;Chelsea;19;2;9;0;0;0;0
Moisés Caicedo;ECU;MF;Chelsea;21;35;2866;1;3;11;0
Tom Cairney;SCO;MF;Fulham;32;34;1488;1;4;3;0
Dominic Calvert-Lewin;ENG;FW;Everton;26;32;2171;7;2;2;0
Thomas Cannon;IRL;FW;Everton;20;1;1;0;0;0;0
Diego Carlos;BRA;DF;Aston Villa;30;27;1816;0;0;4;0
Cesare Casadei;ITA;FW, MF;Chelsea;20;11;79;0;0;0;0
Casemiro;BRA;MF, DF;Manchester Utd;31;25;1982;1;2;7;0
Kaelan Casey;ENG;DF;West Ham;18;1;1;0;0;0;0
Matty Cash;POL;DF;Aston Villa;25;29;2142;2;2;8;0
Timothy Castagne;BEL;DF;Fulham;27;34;2634;1;3;3;0
Jonny Castro;ESP;MF;Wolves;29;1;5;0;0;0;0
Trevoh Chalobah;ENG;DF;Chelsea;24;13;952;1;0;1;0
Calum Chambers;ENG;MF, DF;Aston Villa;28;5;152;0;1;1;0
Youssef Chermiti;POR;FW;Everton;19;18;208;0;0;3;0
Ben Chilwell;ENG;DF;Chelsea;26;13;756;0;1;5;0
Tawanda Chirewa;ZIM;MF, FW;Wolves;19;8;145;0;0;1;0
Leon Chiwome;ENG;FW;Wolves;17;3;174;0;0;0;0
Tahith Chong;NED;MF, FW;Luton Town;23;33;1982;4;0;4;0
Ryan Christie;SCO;MF;Bournemouth;28;37;2907;0;5;6;0
Carney Chukwuemeka;ENG;MF, FW;Chelsea;19;9;227;1;1;2;0
Bobby Clark;ENG;MF;Liverpool;18;5;89;0;0;0;0
Jordan Clark;ENG;MF;Luton Town;29;23;1304;1;1;4;0
Nathaniel Clyne;ENG;DF;Crystal Palace;32;19;1338;0;0;0;0
Séamus Coleman;IRL;DF;Everton;34;12;665;0;0;0;0
Nathan Collins;IRL;DF;Brentford;22;32;2652;1;1;3;0
Levi Colwill;ENG;DF;Chelsea;20;23;1797;1;1;2;0
Lewis Cook;ENG;MF;Bournemouth;26;33;2786;0;3;5;1
Jack Cork;ENG;MF;Burnley;34;4;27;0;0;0;0
Maxwel Cornet;CIV;MF, FW;West Ham;26;7;112;1;0;0;0
Vladimír Coufal;CZE;DF;West Ham;30;36;3132;0;7;7;1
Philippe Coutinho;BRA;MF, FW;Aston Villa;31;2;25;0;0;0;0
Aaron Cresswell;ENG;DF, FW;West Ham;33;11;436;0;0;1;0
Marc Cucurella;ESP;DF;Chelsea;25;21;1782;0;2;10;0
Josh Cullen;IRL;MF;Burnley;27;25;2057;2;3;9;0
Matheus Cunha;BRA;FW, MF;Wolves;24;32;2440;12;7;9;0
Sam Curtis;IRL;DF;Sheffield Utd;17;1;28;0;0;0;0
Mahmoud Dahoud;GER;MF;Brighton;27;9;452;0;1;1;1
Ameen Al-Dakhil;BEL;DF;Burnley;21;13;1056;1;0;1;0
Diogo Dalot;POR;DF;Manchester Utd;24;36;3174;2;3;6;1
Mikkel Damsgaard;DEN;MF;Brentford;23;23;842;0;2;2;0
Danilo;BRA;MF;Nott'ham Forest;22;29;1792;2;2;4;0
Arnaut Danjuma;NED;MF, FW;Everton;26;14;595;1;0;0;0
Jayden Danns;ENG;FW;Liverpool;17;2;9;0;0;1;0
Josh Dasilva;ENG;DF, FW;Brentford;24;3;24;0;0;0;0
David Datro Fofana;CIV;FW;Burnley;20;15;879;4;1;1;0
Ben Davies;WAL;DF;Tottenham;30;17;1090;1;0;2;0
Tom Davies;ENG;MF;Sheffield Utd;25;9;221;0;0;2;0
Craig Dawson;ENG;DF;Wolves;33;25;2209;1;1;7;0
Kevin De Bruyne;BEL;MF;Manchester City;32;18;1221;4;10;2;0
Hannes Delcroix;BEL;DF;Burnley;24;12;589;0;0;2;0
Leander Dendoncker;BEL;MF;Aston Villa;28;8;119;1;0;0;0
Moussa Diaby;FRA;FW, MF;Aston Villa;24;38;2174;6;8;1;0
Amad Diallo;CIV;FW, MF;Manchester Utd;21;9;390;1;1;1;0
Amadou Diallo;ENG;MF;Newcastle Utd;20;1;1;0;0;0;0
Rúben Dias;POR;DF;Manchester City;26;30;2559;0;0;0;0
Luis Díaz;COL;FW;Liverpool;26;37;2629;8;5;3;0
Eric Dier;ENG;DF;Tottenham;29;4;201;0;0;0;0
Lucas Digne;FRA;DF;Aston Villa;30;33;2410;1;3;7;0
Issa Diop;FRA;DF;Fulham;26;18;1424;0;0;4;1
Axel Disasi;FRA;DF;Chelsea;25;31;2579;2;0;6;0
Ben Doak;SCO;FW;Liverpool;17;1;14;0;0;0;0
Lewis Dobbin;ENG;MF;Everton;20;12;232;1;0;1;0
Matt Doherty;IRL;DF, MF;Wolves;31;30;1150;1;0;2;0
Jeremy Doku;BEL;FW, MF;Manchester City;21;29;1595;3;8;3;0
Nicolás Domínguez;ARG;MF, FW;Nott'ham Forest;25;26;1495;2;2;4;0
Jamie Donley;ENG;FW;Tottenham;18;3;3;0;0;1;0
Abdoulaye Doucouré;MLI;FW, MF;Everton;30;32;2629;7;1;7;0
Cheick Doucouré;MLI;MF;Crystal Palace;23;11;919;0;0;2;0
Alfie Doughty;ENG;DF;Luton Town;23;37;2925;2;8;5;0
Tommy Doyle;ENG;MF;Wolves;21;26;1222;0;0;2;0
Radu Drăgușin;ROU;DF;Tottenham;21;9;429;0;0;1;0
Martin Dúbravka;SVK;GK;Newcastle Utd;34;23;1985;0;0;1;0
Paul Dummett;WAL;DF;Newcastle Utd;31;5;20;0;0;0;0
Lewis Dunk;ENG;DF;Brighton;31;33;2869;3;1;7;1
Jhon Durán;COL;FW, MF;Aston Villa;19;23;475;5;0;5;0
George Earthy;ENG;FW;West Ham;18;3;34;1;0;0;0
Ederson;BRA;GK;Manchester City;29;33;2785;0;0;5;0
Odsonne Édouard;FRA;FW, MF;Crystal Palace;25;30;1555;7;0;4;0
John Egan;IRL;DF;Sheffield Utd;30;6;482;0;0;2;0
Hjalmar Ekdal;SWE;DF;Burnley;24;8;437;0;0;2;0
Anthony Elanga;SWE;FW, MF;Nott'ham Forest;21;36;2433;5;9;1;0
Harvey Elliott;ENG;MF, FW;Liverpool;20;34;1352;3;6;2;0
Mohamed Elneny;EGY;MF;Arsenal;31;3;28;0;0;0;0
Emerson;BRA;DF;Tottenham;24;22;1161;1;0;4;0
Julio Enciso;PAR;MF, FW;Brighton;19;12;475;0;2;2;0
Wataru Endo;JPN;MF;Liverpool;30;29;1722;1;0;10;0
Christian Eriksen;DEN;MF;Manchester Utd;31;22;1141;1;2;1;0
Maxime Estève;FRA;DF;Burnley;21;16;1309;0;0;6;0
Pervis Estupiñán;ECU;DF;Brighton;25;19;1243;2;3;4;0
Jonny Evans;NIR;DF;Manchester Utd;35;23;1392;0;1;2;0
Eberechi Eze;ENG;MF, FW;Crystal Palace;25;27;2055;11;4;3;0
Łukasz Fabiański;POL;GK;West Ham;38;10;721;0;0;0;0
Romain Faivre;FRA;MF, FW;Bournemouth;25;5;41;0;0;1;0
Ansu Fati;ESP;MF, FW;Brighton;20;19;521;2;0;2;0
Felipe;BRA;DF;Nott'ham Forest;34;7;375;0;0;4;0
Evan Ferguson;IRL;FW;Brighton;18;27;1367;6;0;1;0
Bruno Fernandes;POR;MF, FW;Manchester Utd;28;35;3118;10;8;9;0
Enzo Fernández;ARG;MF;Chelsea;22;28;2209;3;2;7;0
John Fleck;SCO;MF, DF;Sheffield Utd;31;4;92;0;0;1;0
Mark Flekken;NED;GK;Brentford;30;37;3285;0;1;3;0
Phil Foden;ENG;FW, MF;Manchester City;23;35;2857;19;8;2;0
Wes Foderingham;ENG;GK;Sheffield Utd;32;30;2649;0;0;2;0
Pablo Fornals;ESP;MF, FW;West Ham;27;15;426;0;0;0;0
Omari Forson;ENG;FW;Manchester Utd;19;4;70;0;1;0;0
Lyle Foster;RSA;FW, MF;Burnley;22;24;1899;5;3;0;1
Matheus França;BRA;MF, FW;Crystal Palace;19;10;232;0;1;1;0
Nathan Fraser;IRL;FW;Wolves;18;7;186;0;0;1;0
Cody Gakpo;NED;FW, MF;Liverpool;24;35;1649;8;5;1;0
Conor Gallagher;ENG;MF;Chelsea;23;37;3128;5;7;9;1
Idrissa Gana Gueye;SEN;MF;Everton;33;25;1884;4;0;8;0
Alejandro Garnacho;ARG;FW;Manchester Utd;19;36;2565;7;4;4;0
James Garner;ENG;MF;Everton;22;37;3004;1;2;7;0
Saman Ghoddos;IRN;DF;Brentford;29;19;739;1;0;5;0
Morgan Gibbs-White;ENG;MF, FW;Nott'ham Forest;23;37;3156;5;10;9;0
Bryan Gil;ESP;FW, MF;Tottenham;22;11;209;0;0;0;0
Alfie Gilchrist;ENG;DF;Chelsea;19;11;207;1;0;1;0
Billy Gilmour;SCO;MF;Brighton;22;30;2120;0;1;8;1
Ben Godfrey;ENG;DF;Everton;25;15;1120;0;0;2;0
André Gomes;POR;MF, FW;Everton;30;12;508;1;0;4;0
João Gomes;BRA;MF;Wolves;22;34;2649;2;1;11;0
Toti Gomes;POR;DF;Wolves;24;35;2772;1;3;7;0
Joe Gomez;ENG;DF;Liverpool;26;32;1786;0;1;5;0
Sergio Gómez;ESP;FW, MF;Manchester City;22;6;53;0;1;0;0
Enso Gonzalez;PAR;MF, DF;Wolves;18;1;1;0;0;0;0
Anthony Gordon;ENG;FW;Newcastle Utd;22;35;2890;11;10;12;1
Kaide Gordon;ENG;FW;Liverpool;18;1;1;0;0;0;0
Daniel Gore;ENG;MF;Manchester Utd;18;1;1;0;0;0;0
Ryan Gravenberch;NED;MF;Liverpool;21;26;1121;1;0;0;0
Ivo Grbić;CRO;GK;Sheffield Utd;27;9;771;0;0;1;0
Jack Grealish;ENG;FW, MF;Manchester City;27;20;1009;3;1;6;0
Pascal Groß;GER;MF, DF;Brighton;32;36;3114;4;10;6;0
Marc Guéhi;ENG;DF;Crystal Palace;23;25;2021;0;1;2;0
Bruno Guimarães;BRA;MF;Newcastle Utd;25;37;3263;7;8;9;0
Malo Gusto;FRA;DF;Chelsea;20;27;1751;0;6;7;1
Joško Gvardiol;CRO;DF;Manchester City;21;28;2328;4;1;3;0
Erling Haaland;NOR;FW;Manchester City;23;31;2552;27;5;1;0
Antwoine Hackford;ENG;FW;Sheffield Utd;19;2;13;0;0;0;0
Lewis Hall;ENG;DF;Newcastle Utd;18;18;781;1;0;2;0
Gustavo Hamer;NED;MF;Sheffield Utd;26;36;2910;4;6;9;0
Luke Harris;WAL;MF;Fulham;18;1;75;0;0;0;0
Jack Harrison;ENG;MF, FW;Everton;26;29;2214;3;3;1;0
Daiki Hashioka;JPN;DF;Luton Town;24;10;595;0;0;0;0
Kai Havertz;GER;MF, FW;Arsenal;24;37;2634;13;7;11;0
Jan Paul van Hecke;NED;DF;Brighton;23;28;2369;0;0;4;0
Hwang Hee-chan;KOR;FW, MF;Wolves;27;29;2119;12;3;6;0
Dean Henderson;ENG;GK;Crystal Palace;26;18;1620;0;0;2;0
Rico Henry;ENG;DF;Brentford;26;5;401;0;1;1;0
Son Heung-min;KOR;FW;Tottenham;31;35;2934;17;10;1;0
Aaron Hickey;SCO;DF;Brentford;21;9;713;0;0;5;0
James Hill;ENG;DF;Bournemouth;21;5;76;0;0;0;0
Jack Hinshelwood;ENG;DF;Brighton;18;12;869;3;0;1;0
Mason Holgate;ENG;DF;Sheffield Utd;26;10;710;0;0;3;1
Callum Hudson-Odoi;ENG;FW, MF;Nott'ham Forest;22;29;1854;8;1;0;0
Will Hughes;ENG;MF;Crystal Palace;28;30;1891;0;1;6;0
Pierre Højbjerg;DEN;MF;Tottenham;27;36;1311;0;0;4;0
Rasmus Højlund;DEN;FW;Manchester Utd;20;30;2158;10;2;2;0
Igor;BRA;DF;Brighton;25;24;1637;0;0;4;0
Danny Ings;ENG;FW;West Ham;31;20;404;1;0;1;0
Tim Iroegbunam;ENG;MF;Aston Villa;20;9;164;0;0;0;0
